Grid,Date,Burrow or other,Comments,GPS code,Precision,X (west-to-east),Y (south-to-north),Mean X (west-to-east),Mean Y (south-to-north),DATUM (original PS56=yellow),Huso,Mean X (WGS84),Mean Y (WGS84),Scaled X,Scaled Y,,,,,,,,,,,,,,,,,,
,11-Nov-21,36,,R36,3,325180.0,6291771.0,325180.7,6291772.7,wgs84,19,325181,6291773,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,36,,201,3,325181.0,6291773.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,36,,270,3,325181.0,6291774.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,13,,R13,3,325193.0,6291764.0,325193.7,6291763.7,wgs84,19,325194,6291764,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,13,,202,3,325193.0,6291763.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,13,,271,3,325195.0,6291764.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,7,,R7,3,325200.0,6291773.0,325200.0,6291772.7,wgs84,19,325200,6291773,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,7,,203,3,325200.0,6291773.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,7,,219,3,325200.0,6291772.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,34,,R34,3,325217.0,6291776.0,325218.0,6291777.0,wgs84,19,325218,6291777,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,34,,204,3,325219.0,6291778.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,34,,220,3,325218.0,6291777.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,35,,R35,3,325214.0,6291809.0,325214.7,6291811.0,wgs84,19,325215,6291811,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,35,,205,3,325216.0,6291813.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,35,,216,3,325214.0,6291811.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,32,,R32,3,325218.0,6291755.0,325218.0,6291756.3,wgs84,19,325218,6291756,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,32,,206,3,325217.0,6291754.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,32,,221,3,325219.0,6291760.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,29,,R29,3,325223.0,6291740.0,325222.7,6291741.3,wgs84,19,325223,6291741,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,29,,207,3,325222.0,6291740.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,29,,222,3,325223.0,6291744.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,23,,R23,3,325198.0,6291746.0,325198.7,6291747.3,wgs84,19,325199,6291747,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,23,,208,3,325198.0,6291747.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,23,,223,3,325200.0,6291749.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,37,,R37,3,325198.0,6291731.0,325197.7,6291732.3,wgs84,19,325198,6291732,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,37,,209,3,325197.0,6291731.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,37,,224,3,325198.0,6291735.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,6,,R6,3,325190.0,6291727.0,325189.3,6291727.3,wgs84,19,325189,6291727,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,6,,210,3,325188.0,6291726.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
