"","id1","id2","n","n_behave","n_scan","actor.obs","subject.obs","ave.obs","frequency"
"146","7220","7456",5,3,2,31.8333333333333,13.3333333333333,22.5833333333333,0.22140221402214
"147","7220","7472",4,2,2,31.8333333333333,33,32.4166666666667,0.123393316195373
"148","7221","7055",2,2,0,4.83333333333333,2.16666666666667,3.5,0.571428571428571
"149","7221","7190",1,1,0,4.83333333333333,32.5,18.6666666666667,0.0535714285714286
"150","7221","7197",1,1,0,4.83333333333333,0.833333333333333,2.83333333333333,0.352941176470588
"151","7221","7214",1,1,0,4.83333333333333,1.66666666666667,3.25,0.307692307692308
"152","7221","7381",1,1,0,4.83333333333333,3.66666666666667,4.25,0.235294117647059
"153","7221","7474",1,1,0,4.83333333333333,1.16666666666667,3,0.333333333333333
"154","7221","7477",2,1,1,4.83333333333333,4.66666666666667,4.75,0.421052631578947
"155","7221","7482",4,3,1,4.83333333333333,1.83333333333333,3.33333333333333,1.2
"156","7222","7010",3,3,0,16.5,44.5,30.5,0.0983606557377049
"157","7222","7207",3,2,1,16.5,45.6666666666667,31.0833333333333,0.096514745308311
"158","7222","7253",2,1,1,16.5,27.1666666666667,21.8333333333333,0.0916030534351145
"159","7222","7255",1,1,0,16.5,33.6666666666667,25.0833333333333,0.0398671096345515
"160","7222","7267",1,1,0,16.5,35.5,26,0.0384615384615385
"161","7222","7291",1,1,0,16.5,26.5,21.5,0.0465116279069767
"162","7222","7472",2,2,0,16.5,33,24.75,0.0808080808080808
"163","7225","7253",3,2,1,6.16666666666667,27.1666666666667,16.6666666666667,0.18
"164","7225","7290",2,1,1,6.16666666666667,8.33333333333333,7.25,0.275862068965517
"165","7225","7315",1,1,0,6.16666666666667,28,17.0833333333333,0.0585365853658537
"166","7225","7456",1,1,0,6.16666666666667,13.3333333333333,9.75,0.102564102564103
"167","7227","7186",7,3,4,18,29.3333333333333,23.6666666666667,0.295774647887324
"168","7227","7220",6,6,0,18,31.8333333333333,24.9166666666667,0.240802675585284
"169","7227","7253",8,2,6,18,27.1666666666667,22.5833333333333,0.354243542435424
