"","id","sex","meanagd","masculinization","mean_bm","n_bm","meanhf","n","bodycondition","mean_escapescore","docility","hr50","hr95"
"137",7380,"F",1.44428571428571,"average",162.770588235294,17,24.5014285714286,7,-0.161280920603237,0.289074960127592,"average leaving trap",0.0224069580078125,0.0995220092773438
"138",7381,"M",NA,NA,186.4,7,25.985,2,-0.118654141041062,0.24384358889161,"slow leaving trap",0.149882409667969,0.560654321289062
"139",7384,"M",7.308,"low",168.390909090909,11,24.74,5,-0.142651490550423,0.447628458498024,"average leaving trap",0.0115190551757812,0.05123857421875
"140",7386,"F",1.692,"average",180.247826086957,23,23.626,5,-0.00177831197075859,0.296648316576779,"average leaving trap",0.0358125,0.160434826660156
"141",7387,"F",NA,NA,171.527777777778,18,NA,NA,NA,NA,NA,NA,NA
"142",7388,"M",NA,NA,188.214285714286,7,24.79,2,-0.0345498798272827,NA,NA,NA,NA
"143",7390,"F",1.685,"average",185.113636363636,22,23.58,4,0.0279394983209022,0.424124404193742,"average leaving trap",0.0534954711914062,0.215361450195312
"144",7391,"M",7.736,"average",207.841666666667,12,25.928,5,-0.00630127725666845,0.526447036657338,"fast leaving trap",0.0208542846679688,0.0956105346679687
"145",7394,"F",NA,NA,179.258333333333,12,NA,NA,NA,0.446034547976296,"average leaving trap",NA,NA
"146",7396,"F",1.06,"low",190.266666666667,12,24.8725,4,-0.0289561851583243,0.394451092496565,"average leaving trap",NA,NA
"147",7397,"F",NA,NA,193.975,16,NA,NA,NA,0.305429858386808,"average leaving trap",NA,NA
"148",7398,"F",NA,NA,162.72,10,23.71,2,-0.109690164034806,0.325163191360374,"average leaving trap",0.0287473510742188,0.119618151855469
"149",7399,"F",1.61,"average",211.831111111111,45,25.1414285714286,7,0.0614072636133247,0.437854798319915,"average leaving trap",NA,NA
"150",7401,"M",NA,NA,196.866666666667,3,25.465,2,-0.0320692805172688,NA,NA,NA,NA
"151",7404,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152",7406,"F",NA,NA,NA,NA,NA,NA,NA,0.333274499828691,"average leaving trap",NA,NA
"153",7407,"M",8.882,"average",186.465625,32,24.86,5,-0.0483412742050399,0.418979136646169,"average leaving trap",0.02472607421875,0.108321655273437
"154",7408,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155",7409,"F",2.42666666666667,"large",NA,NA,24.27,3,NA,0.186191535269658,"slow leaving trap",NA,NA
"156",7410,"F",1.53,"average",187.366666666667,18,24.56,4,-0.0243294226105561,0.532360831656606,"fast leaving trap",0.0268034912109375,0.139771398925781
"157",7411,"M",NA,NA,160.36,5,23.835,2,-0.132611437849827,0.496031746031746,"fast leaving trap",NA,NA
"158",7412,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",7415,"M",NA,NA,172.216666666667,6,24.11,2,-0.0794125384706101,NA,NA,NA,NA
"160",7416,"F",NA,NA,NA,NA,NA,NA,NA,0.278732005622762,"slow leaving trap",NA,NA
"161",7418,"M",7.6625,"average",167.94,5,24.1675,4,-0.108324471752749,NA,NA,NA,NA
"162",7421,"M",8.13,"average",192.1125,8,25.25,3,-0.0431123596754356,0.404320987654321,"average leaving trap",NA,NA
"163",7424,"F",0.996666666666667,"low",173.805555555556,18,24.2071428571429,7,-0.076584827518958,0.2989292549542,"average leaving trap",0.0809790405273438,0.526307446289062
"164",7425,"F",1.15333333333333,"average",180.533333333333,9,24,3,-0.0250221475945535,NA,NA,NA,NA
"165",7426,"F",NA,NA,184.4625,16,25.145,2,-0.0771603854234416,0.36969713535972,"average leaving trap",0.069571240234375,0.264596069335937
"166",7427,"M",7.10285714285714,"low",252.466666666667,12,25.82,7,0.194799355000626,0.575902144753771,"fast leaving trap",0.159331787109375,0.764234594726563
"167",7430,"F",NA,NA,181.867857142857,28,23.875,2,-0.00940287943187865,0.484741784037559,"average leaving trap",NA,NA
"168",7432,"F",NA,NA,181.148148148148,27,NA,NA,NA,0.515277984528137,"fast leaving trap",NA,NA
"169",7433,"F",NA,NA,197.588888888889,9,24.34,2,0.0430148310525256,NA,NA,NA,NA
"170",7434,"F",1.67,"average",166.742857142857,14,24.3075,4,-0.124608830498514,NA,NA,NA,NA
"171",7435,"F",NA,NA,171.879166666667,24,NA,NA,NA,NA,NA,NA,NA
"172",7436,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",7437,"M",11.0625,"large",216.275,16,26.16,8,0.0193919073432026,0.307511678752036,"average leaving trap",NA,NA
"174",7438,"F",1.475,"average",175.657142857143,21,23.4125,4,-0.0132277938800624,NA,NA,NA,NA
"175",7439,"F",NA,NA,165.551351351351,37,NA,NA,NA,NA,NA,NA,NA
"176",7440,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",7441,"F",NA,NA,199.033333333333,9,NA,NA,NA,NA,NA,NA,NA
"178",7442,"M",9.225,"average",193.611111111111,9,26.865,4,-0.133342562194212,NA,NA,NA,NA
"179",7443,"M",6.69333333333333,"low",186.366666666667,15,25.0566666666667,3,-0.0613278002508878,NA,NA,0.167341735839844,0.648101257324219
"180",7444,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181",7445,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182",7446,"M",NA,NA,191.266666666667,3,NA,NA,NA,NA,NA,NA,NA
"183",7447,"F",NA,NA,200.446153846154,13,25.21,2,0.00185822162912256,NA,NA,NA,NA
"184",7448,"F",1.12,"average",178.665,20,22.88625,8,0.0396860297057116,0.237434531552179,"slow leaving trap",0.157647058105469,0.698587060546875
"185",7449,"M",NA,NA,181.1,4,26.92,2,-0.203377583694462,NA,NA,NA,NA
"186",7450,"M",7.58571428571429,"average",175.719441666667,12,24.76,7,-0.101328300213729,NA,NA,NA,NA
"187",7451,"F",NA,NA,160.5,2,NA,NA,NA,NA,NA,NA,NA
"188",7452,"M",8.20166666666667,"average",179.05,12,26.834,6,-0.209703977771803,NA,NA,NA,NA
"189",7453,"M",7.81272727272727,"average",NA,NA,22.5372727272727,11,NA,0.330497643581756,"average leaving trap",0.134865112304688,0.752709069824219
"190",7454,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191",7455,"M",8.2325,"average",208.97,30,24.6675,4,0.0778901055337445,NA,NA,0.0375811157226563,0.1386146484375
"192",7456,"F",1.3575,"average",176.195,20,23.1925,4,0.00475309223831879,NA,NA,0.0799187133789063,0.382364709472656
"193",7457,"F",NA,NA,172.477777777778,9,NA,NA,NA,0.522350947217997,"fast leaving trap",NA,NA
"194",7458,"F",NA,NA,179.62,10,NA,NA,NA,NA,NA,NA,NA
"195",7459,"F",NA,NA,NA,NA,NA,NA,NA,0.241123705690635,"slow leaving trap",NA,NA
"196",7460,"M",7.352,"low",172.478947368421,19,23.45,5,-0.0340164506454004,NA,NA,0.0554796020507813,0.366493994140625
"197",7461,"F",1.44,"average",177.52,10,22.815,5,0.0381855183523192,0.354629781633532,"average leaving trap",0.0872952270507812,0.482670544433594
"198",7462,"F",1.175,"average",169.9375,24,20.4625,4,NA,0.412760352961488,"average leaving trap",0.009431640625,0.0395117065429687
"199",7463,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200",7464,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201",7465,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202",7466,"F",1.4725,"average",174.31,10,23.5625,8,-0.0310215051288265,NA,NA,NA,NA
"203",7467,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204",7468,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",7469,"F",1.466,"average",165.430769230769,13,23.152,5,-0.0555227291146962,NA,NA,NA,NA
"206",7470,"M",NA,NA,160.6,2,NA,NA,NA,NA,NA,NA,NA
"207",7471,"M",NA,NA,267.366666666667,3,NA,NA,NA,0.43043043043043,"average leaving trap",NA,NA
