"","actor","subject","n","actor.obs","subject.obs","ave.obs","frequency"
"82","7255","7462",1,33.6666666666667,13.1666666666667,23.4166666666667,0.0427046263345196
"83","7263","7204",1,50.8333333333333,2.83333333333333,26.8333333333333,0.0372670807453416
"84","7263","7207",1,50.8333333333333,45.6666666666667,48.25,0.0207253886010363
"85","7263","7220",1,50.8333333333333,31.8333333333333,41.3333333333333,0.0241935483870968
"86","7263","7222",4,50.8333333333333,16.5,33.6666666666667,0.118811881188119
"87","7263","7230",1,50.8333333333333,16.5,33.6666666666667,0.0297029702970297
"88","7263","7232",2,50.8333333333333,25.6666666666667,38.25,0.0522875816993464
"89","7263","7328",6,50.8333333333333,46.5,48.6666666666667,0.123287671232877
"90","7263","7384",1,50.8333333333333,11.5,31.1666666666667,0.0320855614973262
"91","7263","7427",3,50.8333333333333,49.5,50.1666666666667,0.0598006644518272
"92","7263","7443",1,50.8333333333333,18.1666666666667,34.5,0.0289855072463768
"93","7263","7452",1,50.8333333333333,2.16666666666667,26.5,0.0377358490566038
"94","7263","7453",2,50.8333333333333,34.3333333333333,42.5833333333333,0.0469667318982387
"95","7263","7474",1,50.8333333333333,1.16666666666667,26,0.0384615384615385
"96","7265","7267",1,16.1666666666667,35.5,25.8333333333333,0.0387096774193548
"97","7265","7279",1,16.1666666666667,53.6666666666667,34.9166666666667,0.0286396181384248
"98","7267","7265",1,35.5,16.1666666666667,25.8333333333333,0.0387096774193548
"99","7267","7328",2,35.5,46.5,41,0.0487804878048781
"100","7267","7472",8,35.5,33,34.25,0.233576642335766
"101","7268","7194",1,26.8333333333333,38,32.4166666666667,0.0308483290488432
"102","7268","7286",1,26.8333333333333,26.1666666666667,26.5,0.0377358490566038
"103","7270","7352",1,30.3333333333333,8.66666666666667,19.5,0.0512820512820513
"104","7271","7295",1,17,29.8333333333333,23.4166666666667,0.0427046263345196
"105","7271","7480",1,17,42.6666666666667,29.8333333333333,0.0335195530726257
"106","7274","7450",1,13.5,3.16666666666667,8.33333333333333,0.12
"107","7276","7355",1,23.6666666666667,31.6666666666667,27.6666666666667,0.036144578313253
"108","7276","7426",1,23.6666666666667,41.3333333333333,32.5,0.0307692307692308
"109","7276","7472",1,23.6666666666667,33,28.3333333333333,0.0352941176470588
"110","7278","6833",1,15,22.5,18.75,0.0533333333333333
"111","7279","7265",1,53.6666666666667,16.1666666666667,34.9166666666667,0.0286396181384248
"112","7286","7083",1,26.1666666666667,27.3333333333333,26.75,0.0373831775700935
"113","7290","7255",1,8.33333333333333,33.6666666666667,21,0.0476190476190476
"114","7291","7207",1,26.5,45.6666666666667,36.0833333333333,0.0277136258660508
"115","7291","7222",1,26.5,16.5,21.5,0.0465116279069767
"116","7291","7342",1,26.5,28.5,27.5,0.0363636363636364
"117","7291","7380",1,26.5,27.8333333333333,27.1666666666667,0.0368098159509202
"118","7295","7038",1,29.8333333333333,26.8333333333333,28.3333333333333,0.0352941176470588
"119","7295","7139",2,29.8333333333333,36.6666666666667,33.25,0.0601503759398496
"120","7295","7233",1,29.8333333333333,27.1666666666667,28.5,0.0350877192982456
"121","7295","7286",1,29.8333333333333,26.1666666666667,28,0.0357142857142857
"122","7295","7334",2,29.8333333333333,28,28.9166666666667,0.069164265129683
"123","7295","7346",1,29.8333333333333,26.8333333333333,28.3333333333333,0.0352941176470588
"124","7295","7369",4,29.8333333333333,23.6666666666667,26.75,0.149532710280374
"125","7298","7324",1,47.8333333333333,48.8333333333333,48.3333333333333,0.0206896551724138
"126","7298","7461",1,47.8333333333333,29.6666666666667,38.75,0.0258064516129032
"127","7302","7190",1,39,32.5,35.75,0.027972027972028
"128","7302","7407",2,39,31.3333333333333,35.1666666666667,0.0568720379146919
"129","7302","7455",2,39,37.6666666666667,38.3333333333333,0.0521739130434783
"130","7315","7010",1,28,44.5,36.25,0.0275862068965517
"131","7315","7204",5,28,2.83333333333333,15.4166666666667,0.324324324324324
"132","7315","7276",1,28,23.6666666666667,25.8333333333333,0.0387096774193548
"133","7315","7443",1,28,18.1666666666667,23.0833333333333,0.0433212996389892
"134","7324","7427",1,48.8333333333333,49.5,49.1666666666667,0.0203389830508475
"135","7324","7448",1,48.8333333333333,23.6666666666667,36.25,0.0275862068965517
"136","7328","7207",1,46.5,45.6666666666667,46.0833333333333,0.0216998191681736
"137","7328","7267",2,46.5,35.5,41,0.0487804878048781
"138","7328","7427",3,46.5,49.5,48,0.0625
"139","7328","7472",1,46.5,33,39.75,0.0251572327044025
"140","7334","7369",1,28,23.6666666666667,25.8333333333333,0.0387096774193548
"141","7339","6879",2,22.8333333333333,13,17.9166666666667,0.111627906976744
"142","7339","7038",1,22.8333333333333,26.8333333333333,24.8333333333333,0.0402684563758389
"143","7342","7186",1,28.5,29.3333333333333,28.9166666666667,0.0345821325648415
"144","7342","7220",1,28.5,31.8333333333333,30.1666666666667,0.0331491712707182
"145","7342","7222",2,28.5,16.5,22.5,0.0888888888888889
"146","7342","7263",1,28.5,50.8333333333333,39.6666666666667,0.0252100840336134
"147","7342","7276",1,28.5,23.6666666666667,26.0833333333333,0.0383386581469649
"148","7345","7407",1,30.5,31.3333333333333,30.9166666666667,0.032345013477089
"149","7345","7456",1,30.5,13.3333333333333,21.9166666666667,0.0456273764258555
