"","int.ids","degree","strength","between","closeness","ec","pr","network","dom_ec"
"6888...113",6888,5,0.482422569618641,347,0.0609704014275988,0.00507815584540502,0.535267248663832,"affiliative",NA
"6905...114",6905,0,0,0,NA,0,0.0645583921452654,"affiliative",NA
"6937...115",6937,4,0.375553434172458,0,0.0542507996923041,0.00161876540808058,0.40064548218675,"affiliative",NA
"7010...116",7010,14,1.12912886916542,602,0.100887534458569,0.725139391073159,0.628218647303235,"affiliative",NA
"7038...117",7038,6,0.579534882757584,3,0.0599180872696126,0.02301410386965,0.500614885947258,"affiliative",NA
"7040...118",7040,9,0.464259118072633,431,0.100434902270487,0.0357593821763565,0.439623199613049,"affiliative",NA
"7055...119",7055,0,0,0,NA,0,0.0645583921452654,"affiliative",NA
"7065...120",7065,0,0,0,NA,0,0.0645583921452654,"affiliative",NA
"7072...121",7072,9,1.05265183421165,59,0.078079744804441,0.664354595299024,0.534815167179242,"affiliative",NA
"7083...122",7083,6,0.452278350636119,195,0.0667062476824848,0.00213699224475575,0.35861653321299,"affiliative",NA
"7139...123",7139,10,1.00059501684539,211,0.088836206993612,0.0316391025101514,0.652537683657463,"affiliative",NA
"7186...124",7186,17,1.5547803195289,457,0.0905874608568331,0.356763277523986,1,"affiliative",NA
"7190...125",7190,7,0.610915830078355,213,0.0785934968729293,0.00143543053942969,0.41990241388599,"affiliative",NA
"7194...126",7194,9,0.797178633672421,412,0.0880852789529274,0.0244019546575859,0.489017640699502,"affiliative",NA
"7197...127",7197,3,0.309603780146051,19,0.0777077642387815,0.00025503362812326,0.162408514992674,"affiliative",NA
"7204...128",7204,0,0,0,NA,0,0.0645583921452654,"affiliative",NA
"7207...129",7207,17,1.7352785167534,1261,0.108002245026196,0.902274748120259,0.7079030326049,"affiliative",NA
"7214...130",7214,1,0.0731707317073171,0,0.0555307512594387,0.00139243422776043,0.12705622230916,"affiliative",NA
"7218...131",7218,4,0.667348372047294,61,0.0821921126220388,0.00919248565298711,0.510899519112576,"affiliative",NA
"7219...132",7219,6,0.297612100586084,237,0.0881464466920717,0.026206338207446,0.315863021360469,"affiliative",NA
"7220...133",7220,12,1.06411725163396,376,0.0911266691592817,0.21589835324407,0.808909670988277,"affiliative",NA
"7221...134",7221,1,0.3,0,3.33333333333333,0,0.0645583921452654,"affiliative",NA
"7222...135",7222,12,0.784743362635985,659,0.0951539926220829,0.291314072822607,0.40615061143839,"affiliative",NA
