"","id1","id2","n","actor.obs","subject.obs","ave.obs","frequency"
"392","7021","6825",0,0,0,0,0
"393","7025","6825",0,0,0,0,0
"394","7027","6825",0,0,0,0,0
"395","7028","6825",3,36,27,31.5,0.0952380952380952
"396","7029","6825",0,0,0,0,0
"397","7031","6825",0,0,0,0,0
"398","7032","6825",0,0,0,0,0
"399","7033","6825",0,0,0,0,0
"400","7038","6825",0,0,0,0,0
"401","7040","6825",0,0,0,0,0
"402","7045","6825",0,0,0,0,0
"403","7047","6825",0,0,0,0,0
"404","7053","6825",0,0,0,0,0
"405","7055","6825",0,0,0,0,0
"406","7056","6825",0,0,0,0,0
"407","7059","6825",0,0,0,0,0
"408","7060","6825",0,0,0,0,0
"409","7064","6825",0,0,0,0,0
"410","7065","6825",0,0,0,0,0
"411","7072","6825",2,39.6666666666667,27,33.3333333333333,0.06
"412","7073","6825",0,0,0,0,0
"413","7078","6825",0,0,0,0,0
"414","7079","6825",0,0,0,0,0
"415","7080","6825",0,0,0,0,0
"416","7083","6825",0,0,0,0,0
"417","7084","6825",0,0,0,0,0
"418","7085","6825",0,0,0,0,0
"419","7088","6825",0,0,0,0,0
"420","7091","6825",0,0,0,0,0
"421","7095","6825",0,0,0,0,0
"422","7098","6825",0,0,0,0,0
"423","7099","6825",0,0,0,0,0
"424","7100","6825",0,0,0,0,0
"425","7102","6825",0,0,0,0,0
"426","7103","6825",0,0,0,0,0
"427","7107","6825",1,31,27,29,0.0344827586206897
"428","7108","6825",0,0,0,0,0
"429","7110","6825",0,0,0,0,0
"430","7114","6825",0,0,0,0,0
"431","7115","6825",3,40.5,27,33.75,0.0888888888888889
"432","7117","6825",0,0,0,0,0
"433","7125","6825",4,39.5,27,33.25,0.120300751879699
"434","7130","6825",0,0,0,0,0
"435","7132","6825",0,0,0,0,0
"436","7135","6825",0,0,0,0,0
"437","7136","6825",0,0,0,0,0
"438","7138","6825",0,0,0,0,0
"439","7140","6825",0,0,0,0,0
"440","7141","6825",0,0,0,0,0
"441","7145","6825",0,0,0,0,0
"442","7149","6825",0,0,0,0,0
"443","7166","6825",4,35.8333333333333,27,31.4166666666667,0.127320954907162
"444","7167","6825",0,0,0,0,0
"445","7169","6825",0,0,0,0,0
"446","7170","6825",0,0,0,0,0
"447","7171","6825",1,39.8333333333333,27,33.4166666666667,0.0299251870324189
"448","7175","6825",0,0,0,0,0
"449","7183","6825",0,0,0,0,0
"450","7186","6825",0,0,0,0,0
"451","7191","6825",0,0,0,0,0
"452","7192","6825",0,0,0,0,0
"453","7193","6825",0,0,0,0,0
"454","7194","6825",0,0,0,0,0
"455","7196","6825",0,0,0,0,0
"456","7197","6825",0,0,0,0,0
"457","7198","6825",0,0,0,0,0
"458","7199","6825",0,0,0,0,0
"459","7200","6825",0,0,0,0,0
"460","7202","6825",0,0,0,0,0
"461","6814","6833",0,0,0,0,0
"462","6818","6833",2,32.3333333333333,43,37.6666666666667,0.0530973451327434
"463","6819","6833",0,0,0,0,0
"464","6820","6833",0,0,0,0,0
"465","6825","6833",1,27,43,35,0.0285714285714286
"466","6837","6833",0,0,0,0,0
"467","6838","6833",5,37.8333333333333,43,40.4166666666667,0.123711340206186
"468","6846","6833",0,0,0,0,0
"469","6862","6833",0,0,0,0,0
"470","6879","6833",0,0,0,0,0
"471","6888","6833",0,0,0,0,0
"472","6901","6833",0,0,0,0,0
"473","6905","6833",0,0,0,0,0
"474","6911","6833",0,0,0,0,0
"475","6929","6833",0,0,0,0,0
"476","6936","6833",0,0,0,0,0
"477","6937","6833",0,0,0,0,0
"478","6938","6833",0,0,0,0,0
"479","6993","6833",7,27.1666666666667,43,35.0833333333333,0.199524940617577
"480","6995","6833",0,0,0,0,0
"481","7007","6833",0,0,0,0,0
"482","7010","6833",0,0,0,0,0
"483","7016","6833",0,0,0,0,0
"484","7021","6833",0,0,0,0,0
"485","7025","6833",0,0,0,0,0
"486","7027","6833",0,0,0,0,0
"487","7028","6833",4,36,43,39.5,0.10126582278481
"488","7029","6833",0,0,0,0,0
"489","7031","6833",0,0,0,0,0
"490","7032","6833",0,0,0,0,0
"491","7033","6833",0,0,0,0,0
"492","7038","6833",0,0,0,0,0
"493","7040","6833",0,0,0,0,0
"494","7045","6833",0,0,0,0,0
"495","7047","6833",0,0,0,0,0
"496","7053","6833",0,0,0,0,0
"497","7055","6833",2,28.6666666666667,43,35.8333333333333,0.0558139534883721
"498","7056","6833",0,0,0,0,0
