"","id1","id2","n","n_behave","n_scan","actor.obs","subject.obs","ave.obs","frequency"
"70","6838","7193",1,1,0,37.8333333333333,25.6666666666667,31.75,0.031496062992126
"71","6846","6929",13,3,10,29,27.5,28.25,0.460176991150442
"72","6846","7010",1,1,0,29,25.1666666666667,27.0833333333333,0.0369230769230769
"73","6846","7053",12,7,5,29,28.5,28.75,0.417391304347826
"74","6846","7073",6,1,5,29,22.5,25.75,0.233009708737864
"75","6846","7088",6,1,5,29,23.6666666666667,26.3333333333333,0.227848101265823
"76","6846","7091",1,1,0,29,3.33333333333333,16.1666666666667,0.0618556701030928
"77","6846","7108",2,1,1,29,6.83333333333333,17.9166666666667,0.111627906976744
"78","6862","7016",6,5,1,10,14.1666666666667,12.0833333333333,0.496551724137931
"79","6862","7102",1,1,0,10,22.1666666666667,16.0833333333333,0.0621761658031088
"80","6862","7186",2,2,0,10,13.3333333333333,11.6666666666667,0.171428571428571
"81","6879","7032",4,2,2,7.33333333333333,6,6.66666666666667,0.6
"82","6879","7064",3,2,1,7.33333333333333,4.83333333333333,6.08333333333333,0.493150684931507
"83","6888","6911",3,3,0,24.5,23.3333333333333,23.9166666666667,0.125435540069686
"84","6888","7027",14,4,10,24.5,26.5,25.5,0.549019607843137
"85","6888","7033",6,4,2,24.5,32.5,28.5,0.210526315789474
"86","6888","7038",9,5,4,24.5,22.5,23.5,0.382978723404255
"87","6888","7102",1,1,0,24.5,22.1666666666667,23.3333333333333,0.0428571428571429
"88","6888","7167",7,3,4,24.5,24.1666666666667,24.3333333333333,0.287671232876712
"89","6888","7169",2,1,1,24.5,24.3333333333333,24.4166666666667,0.0819112627986348
"90","6901","6818",6,4,2,35.6666666666667,32.3333333333333,34,0.176470588235294
"91","6901","6825",1,1,0,35.6666666666667,27,31.3333333333333,0.0319148936170213
"92","6901","6838",9,2,7,35.6666666666667,37.8333333333333,36.75,0.244897959183673
"93","6901","7072",1,1,0,35.6666666666667,39.6666666666667,37.6666666666667,0.0265486725663717
"94","6901","7115",8,1,7,35.6666666666667,40.5,38.0833333333333,0.210065645514223
"95","6901","7125",4,3,1,35.6666666666667,39.5,37.5833333333333,0.106430155210643
"96","6905","7007",4,3,1,8.5,11,9.75,0.41025641025641
"97","6905","7130",3,1,2,8.5,8.66666666666667,8.58333333333333,0.349514563106796
"98","6905","7199",1,1,0,8.5,9.16666666666667,8.83333333333333,0.113207547169811
"99","6911","6888",5,3,2,23.3333333333333,24.5,23.9166666666667,0.209059233449477
"100","6911","6995",1,1,0,23.3333333333333,22.1666666666667,22.75,0.043956043956044
"101","6911","7027",3,3,0,23.3333333333333,26.5,24.9166666666667,0.120401337792642
"102","6911","7033",3,2,1,23.3333333333333,32.5,27.9166666666667,0.107462686567164
"103","6911","7038",2,2,0,23.3333333333333,22.5,22.9166666666667,0.0872727272727273
"104","6911","7045",4,3,1,23.3333333333333,18.8333333333333,21.0833333333333,0.189723320158103
"105","6911","7100",3,2,1,23.3333333333333,16.3333333333333,19.8333333333333,0.151260504201681
"106","6929","6846",13,4,9,27.5,29,28.25,0.460176991150442
"107","6929","7053",8,4,4,27.5,28.5,28,0.285714285714286
"108","6929","7073",7,4,3,27.5,22.5,25,0.28
"109","6936","6814",4,1,3,25.8333333333333,15.1666666666667,20.5,0.195121951219512
"110","6936","6938",1,1,0,25.8333333333333,24,24.9166666666667,0.040133779264214
"111","6936","7010",7,5,2,25.8333333333333,25.1666666666667,25.5,0.274509803921569
"112","6936","7136",2,1,1,25.8333333333333,29.1666666666667,27.5,0.0727272727272727
"113","6937","6819",2,1,1,18.8333333333333,23.8333333333333,21.3333333333333,0.09375
"114","6937","6820",3,3,0,18.8333333333333,23.8333333333333,21.3333333333333,0.140625
"115","6937","7080",9,7,2,18.8333333333333,21.6666666666667,20.25,0.444444444444444
"116","6937","7083",4,3,1,18.8333333333333,18.1666666666667,18.5,0.216216216216216
